Bottleneck,Cpu_0,InterArrivalTime_0,Memory_0,QueueLength_0,QueueTime_0,ResponseTime_0,ServiceTime_0,Throughput_0,time,BrokerId_0,Timestamp_0,Throughput_1,Memory_1,ServiceTime_1,InterArrivalTime_1,BrokerId_1,Timestamp_1,Cpu_1,QueueLength_1,QueueTime_1,ResponseTime_1
False,0.09630438320632612,68037.954800,114802688,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:37,,,,,,,,,,,,
False,0.09597819077384562,68037.954800,114806784,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:38,,,,,,,,,,,,
False,0.09564905533760436,68037.954800,114814976,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:39,,,,,,,,,,,,
False,0.09532536884323768,68037.954800,114814976,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:40,,,,,,,,,,,,
False,0.09500495984666801,68037.954800,114819072,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:41,,,,,,,,,,,,
False,0.09468209705229243,68037.954800,114827264,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:42,,,,,,,,,,,,
False,0.09436632521743837,68037.954800,114831360,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:43,,,,,,,,,,,,
False,0.0940526567153262,68037.954800,114835456,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:44,,,,,,,,,,,,
False,0.09373691135883877,68037.954800,114855936,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:45,,,,,,,,,,,,
False,0.09342639659217948,68037.954800,114860032,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:46,,,,,,,,,,,,
False,0.09311486496487414,68037.954800,114868224,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:47,,,,,,,,,,,,
False,0.09281002722160833,68037.954800,114872320,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:48,,,,,,,,,,,,
False,0.09250256535021088,68037.954800,114876416,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:49,,,,,,,,,,,,
False,0.09220131930328515,68037.954800,114876416,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:50,,,,,,,,,,,,
False,0.09189756491038198,68037.954800,114876416,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:51,,,,,,,,,,,,
False,0.09160053190228835,68037.954800,114876416,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:52,,,,,,,,,,,,
False,0.09130115478599789,68037.954800,114876416,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:53,,,,,,,,,,,,
False,0.09100802456695951,68037.954800,114876416,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:54,,,,,,,,,,,,
False,0.0907157580134135,68037.954800,114888704,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:55,,,,,,,,,,,,
False,0.0954450228492668,68037.954800,114892800,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:56,,,,,,,,,,,,
False,0.09514126663561152,68037.954800,114896896,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:57,,,,,,,,,,,,
False,0.09483481735242552,68037.954800,114900992,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:58,,,,,,,,,,,,
False,0.09453526135777526,68037.954800,114909184,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:28:59,,,,,,,,,,,,
False,0.09423270051127228,68037.954800,114913280,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:29:00,,,,,,,,,,,,
False,0.09393677598479089,68037.954800,114913280,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:29:01,,,,,,,,,,,,
False,0.09363796440318947,68037.954800,114929664,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:29:02,,,,,,,,,,,,
False,0.09334510973036712,50505.657100,115044352,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:29:03,,,,,,,,,,,,
False,0.112789,50505.657100,118706176,0,0.000000,529.434266,529.434266,1.888809,2024-05-22 20:29:04,localhost:50002,2024-05-22 20:29:04.2899676 +0900 KST m=+318.606122101,,,,,,,,,,
False,0.11228814303518528,50505.657100,114036736,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:05,,,,,,,,,,,,
False,0.11194063256562348,50505.657100,114040832,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:06,,,,,,,,,,,,
False,0.1115939015822468,50505.657100,114040832,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:07,,,,,,,,,,,,
False,0.11124979418014165,50505.657100,114040832,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:08,,,,,,,,,,,,
False,0.11090337589965733,50505.657100,114040832,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:09,,,,,,,,,,,,
False,0.11056423156187102,50505.657100,114044928,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:10,,,,,,,,,,,,
False,0.11022612778086158,50505.657100,114044928,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:11,,,,,,,,,,,,
False,0.10988600189039453,50505.657100,114049024,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:12,,,,,,,,,,,,
False,0.10955141648076268,50505.657100,114049024,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:13,,,,,,,,,,,,
False,0.10922018317309247,50505.657100,114049024,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:14,,,,,,,,,,,,
