Node,level,msg,time,B1_Cpu,B1_Memory,B1_QueueLength,B1_QueueTime,B1_ServiceTime,B1_ResponseTime,B1_InterArrivalTime,B1_Throughput,B1_m,B1_TimestampDiff,B2_Cpu,B2_Memory,B2_QueueLength,B2_QueueTime,B2_ServiceTime,B2_ResponseTime,B2_InterArrivalTime,B2_Throughput,B2_m,B2_TimestampDiff,B3_Cpu,B3_Memory,B3_QueueLength,B3_QueueTime,B3_ServiceTime,B3_ResponseTime,B3_InterArrivalTime,B3_Throughput,B3_m,B3_TimestampDiff,B4_Cpu,B4_Memory,B4_QueueLength,B4_QueueTime,B4_ServiceTime,B4_ResponseTime,B4_InterArrivalTime,B4_Throughput,B4_m,B4_TimestampDiff,B5_Cpu,B5_Memory,B5_QueueLength,B5_QueueTime,B5_ServiceTime,B5_ResponseTime,B5_InterArrivalTime,B5_Throughput,B5_m,B5_TimestampDiff
localhost:50002,info,Advertisement(apple > 0.5358807176369617) b89e5ecf-eb8b-4063-b483-b8958717bc7f,2024-08-03 19:30:02,,,,,,,,,,,100.170736,29925376.0,1.0,2.966172,1.163928,4.1301,1.091352,0.242125,37.305796101,,,,,,,,,,,,100.379983,28049408.0,1.0,2.576977,1.164302,3.741279,1.112302,0.267288,34.291663701,,99.835498,25833472.0,2.0,2.068848,1.161479,3.230328,1.235248,0.309566,31.712802401,
localhost:50002,info,Advertisement(apple > 0.7833041680558404) c601c179-0bd1-4dfa-aed5-637b67977354,2024-08-03 19:30:03,,,,,,,,,,,100.447139,31051776.0,3.0,2.04625,1.170127,3.216376,1.039507,0.310909,38.463067901,,99.929566,30646272.0,26.0,12.085355,0.909022,12.994377,0.489741,0.076956,36.410816601,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.6385672464676682) 298f503a-51f6-40ce-8d98-d999ca15d3bc,2024-08-03 19:30:04,,,,,,,,,,,100.48117,31211520.0,4.0,2.307523,1.157271,3.464794,1.014292,0.288617,39.631841501,,99.921269,30871552.0,30.0,12.99382,0.915115,13.908935,0.469151,0.071896,37.320801101,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.48957999974499866) 3f98ff6c-f792-4ef4-854f-0a1e0f234d3a,2024-08-03 19:30:05,,,,,,,,,,,100.512704,31371264.0,5.0,2.972584,1.171774,4.144358,0.987362,0.241292,40.800837701,,,,,,,,,,,,100.337635,28631040.0,3.0,2.769699,1.16208,3.93178,1.029545,0.254338,37.778781701,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.15903942145406608) 267cf5b2-50b3-4a2f-9b49-1267d2616bb8,2024-08-03 19:30:07,,,,,,,,,,,100.496294,31457280.0,4.0,3.718809,1.16653,4.88534,0.987362,0.204694,41.958037201,,99.942553,30912512.0,29.0,13.906743,0.907501,14.814243,0.469151,0.067503,38.235248901,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.18882445261034408) 1eb8c26a-3ba6-4e01-a6f2-2d312625a219,2024-08-03 19:30:08,,,,,,,,,,,100.463874,31510528.0,3.0,3.973122,1.155701,5.128824,0.987362,0.194976,43.122489101,,99.931452,30924800.0,28.0,14.816907,0.914909,15.731816,0.469151,0.063565,39.146365601,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.5097332217888795) e0891864-d234-4d43-af41-f74a04a95ea2,2024-08-03 19:30:09,99.930799,27869184.0,12.0,9.871992,1.157913,11.029905,0.775438,0.090663,39.559890801,,100.46061,31584256.0,2.0,4.728599,1.165415,5.894014,0.987362,0.169664,44.290386901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.6921490396566948) aa2e5321-965c-4d86-877a-5f755eed0a3e,2024-08-03 19:30:10,,,,,,,,,,,100.465166,31612928.0,2.0,5.304697,1.162897,6.467593,1.080605,0.154617,45.454820601,,,,,,,,,,,,100.369038,29130752.0,3.0,3.746255,1.155381,4.901636,1.047162,0.204014,40.102072501,,99.892483,26083328.0,0.0,1.343247,1.155033,2.49828,1.277527,0.400275,36.355933501,
localhost:50002,info,Advertisement(apple > 0.590100154381946) d2ce117b-9566-4c82-8580-2d4bcfe1125e,2024-08-03 19:30:11,99.978623,28196864.0,14.0,11.039802,1.170321,12.210123,0.766288,0.081899,40.728701101,,100.435546,31776768.0,1.0,5.890864,1.171435,7.062299,1.080605,0.141597,46.619461901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.76396847662559) 19b388c6-7ee7-4d86-9e38-9b9cbd09047f,2024-08-03 19:30:12,,,,,,,,,,,100.473547,31842304.0,2.0,2.990683,1.162641,4.153324,1.10189,0.240771,47.783718501,,,,,,,,,,,,100.327709,30879744.0,4.0,4.379951,1.161458,5.541409,0.997243,0.18046,44.744047601,,,,,,,,,,,
