AverageQueueTime,AverageServiceTime,AverageThroughput,Bottleneck,B2_Cpu,B2_InterArrivalTime,B2_Memory,MessageCount,B2_QueueLength,B2_QueueTime,B2_ResponseTime,B2_ServiceTime,B2_Throughput,TotalArrival Time,level,msg,time,Node,B1_Cpu,B1_Memory,B1_QueueLength,B1_QueueTime,B1_ServiceTime,B1_ResponseTime,B1_InterArrivalTime,B1_Throughput,B1_m,B1_TimestampDiff,B2_m,B2_TimestampDiff,B3_Cpu,B3_Memory,B3_QueueLength,B3_QueueTime,B3_ServiceTime,B3_ResponseTime,B3_InterArrivalTime,B3_Throughput,B3_m,B3_TimestampDiff,B4_Cpu,B4_Memory,B4_QueueLength,B4_QueueTime,B4_ServiceTime,B4_ResponseTime,B4_InterArrivalTime,B4_Throughput,B4_m,B4_TimestampDiff,B5_Cpu,B5_Memory,B5_QueueLength,B5_QueueTime,B5_ServiceTime,B5_ResponseTime,B5_InterArrivalTime,B5_Throughput,B5_m,B5_TimestampDiff
2.465247,1.162779,0.275632,False,100.208991,1.061262,28110848.0,18,1.0,2.052891,3.218431,1.16554,0.31071,19.102716,info,Advertisement(apple > 0.8921849418719545) 595e17de-e34b-40c4-98e0-df7900803af3,2024-08-03 19:29:54,localhost:50002,,,,,,,,,,,29.152349001,,,,,,,,,,,,100.387697,27049984.0,2.0,1.605108,1.166472,2.77158,1.033543,0.360805,27.051498701,,99.796402,25178112.0,1.0,1.160708,1.16201,2.322718,1.272427,0.43053,25.446861401,
2.440991,1.162833,0.277483,False,100.229589,1.100737,28372992.0,18,1.0,2.079797,3.243495,1.163698,0.308309,19.102716,info,Advertisement(apple > 0.3759775276987754) 631fc2e5-0769-40d9-835f-506928b0ad90,2024-08-03 19:29:55,localhost:50002,,,,,,,,,,,30.315538401,,99.831274,28340224.0,19.0,9.268916,0.909619,10.178535,0.482144,0.098246,28.229740201,,,,,,,,,,,,,,,,,,,,,
2.420924,1.162873,0.279034,False,100.195367,1.013289,28741632.0,21,3.0,1.432859,2.596407,1.163548,0.385148,21.822493,info,Advertisement(apple > 0.7810559387140023) 2899cc09-b300-4527-9b4e-29fdab8e4178,2024-08-03 19:29:56,localhost:50002,,,,,,,,,,,31.479889201,,99.890766,28975104.0,22.0,11.079205,0.90224,11.981445,0.466649,0.083462,30.043029501,,,,,,,,,,,,,,,,,,,,,
2.368921,1.162635,0.283161,False,100.197705,1.01995,28839936.0,22,3.0,1.780697,2.939047,1.15835,0.340246,22.292350,info,Advertisement(apple > 0.5097332217888795) 52578bff-bb4c-4eaa-9aa6-b3ba33b2c908,2024-08-03 19:29:57,localhost:50002,,,,,,,,,,,32.633116901,,,,,,,,,,,,100.33735,27500544.0,1.0,1.161624,1.171577,2.333201,1.104778,0.428596,30.802460401,,,,,,,,,,,
2.339510,1.162414,0.285557,False,100.199951,1.01995,28966912.0,23,2.0,2.846396,4.004625,1.158229,0.249711,23.458856,info,Advertisement(apple > 0.7236268522021763) cd79908f-1f25-4b54-a0f8-1d4f05bb4833,2024-08-03 19:29:58,localhost:50002,,,,,,,,,,,33.801915301,,99.935569,29102080.0,21.0,11.987656,0.909049,12.896705,0.466649,0.077539,30.952015801,,,,,,,,,,,,,,,,,,,,,
2.363647,1.162813,0.283570,False,100.2152332475855,1.019950,29196288.0,23,1.0,2.846396,4.017195,1.170799,0.248930,23.458856,info,Performance Metrics,2024-08-03 19:29:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.417403,1.163041,0.279295,False,100.199243,1.050275,29315072.0,24,2.0,3.546279,4.717078,1.170799,0.211996,25.206598,info,Advertisement(apple > 0.8450032005452546) 5affadd0-8d65-471e-9afb-c1e84c02bd34,2024-08-03 19:30:00,localhost:50002,99.849964,26734592.0,9.0,7.093402,1.161272,8.254673,0.761951,0.121143,31.423477901,,34.971693201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.417403,1.163041,0.279295,False,100.171441,1.050275,29523968.0,24,1.0,3.543788,4.711614,1.167826,0.212241,25.206598,info,Advertisement(apple > 0.48071105719796786) 515dc1b0-4e1c-4a62-a42d-dc0f40581968,2024-08-03 19:30:01,localhost:50002,99.865643,27062272.0,10.0,8.2609,1.170214,9.431114,0.757118,0.106032,32.591985201,,36.135670001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.466376,1.163080,0.275523,False,100.170736,1.091352,29925376.0,25,1.0,2.966172,4.1301,1.163928,0.242125,27.283793,info,Advertisement(apple > 0.5358807176369617) b89e5ecf-eb8b-4063-b483-b8958717bc7f,2024-08-03 19:30:02,localhost:50002,,,,,,,,,,,37.305796101,,,,,,,,,,,,100.379983,28049408.0,1.0,2.576977,1.164302,3.741279,1.112302,0.267288,34.291663701,,99.835498,25833472.0,2.0,2.068848,1.161479,3.230328,1.235248,0.309566,31.712802401,
2.487201,1.163374,0.273929,False,100.447139,1.039507,31051776.0,27,3.0,2.04625,3.216376,1.170127,0.310909,28.695228,info,Advertisement(apple > 0.7833041680558404) c601c179-0bd1-4dfa-aed5-637b67977354,2024-08-03 19:30:03,localhost:50002,,,,,,,,,,,38.463067901,,99.929566,30646272.0,26.0,12.085355,0.909022,12.994377,0.489741,0.076956,36.410816601,,,,,,,,,,,,,,,,,,,,,
