B1_Cpu,B1_Memory,B1_ResponseTime,B1_Throughput,B2_Cpu,B2_Memory,B2_ResponseTime,B2_Throughput,B3_Cpu,B3_Memory,B3_ResponseTime,B3_Throughput,B4_Cpu,B4_Memory,B4_ResponseTime,B4_Throughput,B5_Cpu,B5_Memory,B5_ResponseTime,B5_Throughput
0,0,0,0,100.2852519,34066432,8.40202,0.119019,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.285017,34066432,8.877821,0.11264,0,0,0,0,100.239402,33099776,10.139139,0.098628,0,0,0,0
0,0,0,0,100.287849,34066432,9.816867,0.101865,99.934189,33259520,31.54918,0.031697,0,0,0,0,0,0,0,0
0,0,0,0,100.274473,34066432,10.072187,0.099283,99.946831,33275904,32.466317,0.030801,0,0,0,0,0,0,0,0
0,0,0,0,100.329345,34074624,10.048333,0.099519,0,0,0,0,100.210751,33320960,10.476816,0.095449,99.893651,30142464,3.138725,0.318601
99.988093,31289344,24.858234,0.040228,100.330164,34082816,9.546109,0.104755,0,0,0,0,0,0,0,0,0,0,0,0
99.98542,31338496,26.024039,0.038426,100.312324,34091008,9.553901,0.104669,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.3384453,34050048,9.557504,0.10463,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.33234,34050048,7.736242,0.129262,0,0,0,0,100.21015,33976320,12.929484,0.077343,0,0,0,0
0,0,0,0,100.323373,34066432,8.607865,0.116173,99.922096,33329152,34.39617,0.029073,0,0,0,0,0,0,0,0
0,0,0,0,100.339821,34070528,8.866169,0.112788,99.938472,33374208,35.305611,0.028324,0,0,0,0,0,0,0,0
0,0,0,0,100.341477,34107392,9.133136,0.109491,99.938121,33382400,36.208256,0.027618,0,0,0,0,0,0,0,0
0,0,0,0,100.332942,34205696,9.378053,0.106632,99.93391,33390592,37.118287,0.026941,0,0,0,0,0,0,0,0
99.990478,31731712,27.654004,0.036161,100.333248,34414592,9.555301,0.104654,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.322281,34443264,10.059385,0.09941,0,0,0,0,100.239996,34009088,14.021061,0.071321,99.90911,30568448,4.725665,0.21161
0,0,0,0,100.3258579,34451456,10.059778,0.099406,0,0,0,0,0,0,0,0,0,0,0,0
99.994384,31973376,28.824426,0.034693,100.312518,34455552,10.722227,0.093264,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.314101,34455552,11.182797,0.089423,0,0,0,0,100.224591,33988608,13.407602,0.074585,0,0,0,0
0,0,0,0,100.319082,34476032,7.910389,0.126416,99.969917,33439744,39.040125,0.025615,0,0,0,0,0,0,0,0
0,0,0,0,100.312032,34476032,8.154679,0.122629,99.971929,33464320,39.957922,0.025026,0,0,0,0,0,0,0,0
0,0,0,0,100.301957,34480128,8.873599,0.112694,0,0,0,0,100.219157,34029568,15.209007,0.065751,99.910035,30732288,5.158313,0.193862
0,0,0,0,100.303061,34500608,9.58129,0.10437,99.970436,33488896,40.870976,0.024467,0,0,0,0,0,0,0,0
0,0,0,0,100.3226924,34504704,9.584871,0.104331,0,0,0,0,0,0,0,0,0,0,0,0
100.038573,32497664,30.409843,0.032884,100.306242,34508800,10.733323,0.093168,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.31233,34516992,10.994416,0.090955,99.967925,33505280,41.768712,0.023941,0,0,0,0,0,0,0,0
100.044323,32595968,31.579363,0.031666,100.312557,34521088,11.888879,0.084112,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.301909,34525184,12.381206,0.080768,0,0,0,0,100.212141,34095104,16.188923,0.061771,0,0,0,0
0,0,0,0,100.294826,34529280,8.886948,0.112525,0,0,0,0,100.206039,34152448,16.376371,0.061064,99.951183,30990336,5.620537,0.177919
100.029949,33316864,33.178243,0.03014,100.298178,34529280,8.41218,0.118875,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.3034026,34537472,8.419283,0.118775,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.299163,34537472,9.572054,0.104471,99.982752,33533952,43.670511,0.022899,0,0,0,0,0,0,0,0
0,0,0,0,100.305411,34537472,10.047928,0.099523,0,0,0,0,100.212393,34168832,17.809873,0.056149,0,0,0,0
0,0,0,0,100.295745,34537472,10.981181,0.091065,99.994574,33546240,44.578456,0.022432,0,0,0,0,0,0,0,0
100.064656,33341440,34.352462,0.02911,100.300191,34537472,11.902009,0.084019,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.292168,34537472,12.406346,0.080604,99.97833,33562624,45.481151,0.021987,0,0,0,0,0,0,0,0
0,0,0,0,100.307606,34537472,12.65026,0.07905,99.981757,33587200,46.397952,0.021553,0,0,0,0,0,0,0,0
0,0,0,0,100.2989033,34537472,12.649491,0.079055,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.308492,34537472,10.0499,0.099503,0,0,0,0,100.194729,34193408,18.709,0.05345,99.935887,31121408,6.077307,0.164547
0,0,0,0,100.296091,34541568,10.058884,0.099415,0,0,0,0,100.187444,34197504,19.43108,0.051464,0,0,0,0
0,0,0,0,100.303936,34545664,9.791835,0.102126,99.987636,33865728,47.39465,0.021099,0,0,0,0,0,0,0,0
100.080094,33394688,37.141428,0.026924,100.305816,34553856,10.739216,0.093117,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.316636,34570240,11.208294,0.08922,99.990431,34234368,48.311927,0.020699,0,0,0,0,0,0,0,0
100.073604,33419264,38.306801,0.026105,100.31102,34570240,11.911061,0.083956,0,0,0,0,0,0,0,0,0,0,0,0
