date,HopCount,Timestamp_0,BrokerId_0,Cpu_0,Memory_0,InterArrivalTime_0,QueueLength_0,QueueTime_0,ServiceTime_0,ResponseTime_0,Throughput_0,Timestamp_1,BrokerId_1,Cpu_1,Memory_1,InterArrivalTime_1,QueueLength_1,QueueTime_1,ServiceTime_1,ResponseTime_1,Throughput_1,BrokerId_2,Cpu_2,Memory_2,InterArrivalTime_2,QueueLength_2,QueueTime_2,ServiceTime_2,ResponseTime_2,Throughput_2
2024-07-31 15:48:36,2.0,4.150801300000001,2.0,100.293568,29679616,0.944622,2,4.165675,1.161211,5.326886,0.187727,0.0,3.0,100.768889,28315648,0.500279,17,9.160965,0.907400,10.068365,0.099321,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:37,2.0,4.3941041999999975,2.0,100.277336,30023680,1.010738,3,4.409475,1.160799,5.570274,0.179524,0.0,3.0,100.768435,28512256,0.516942,17,10.075249,0.917489,10.992738,0.090969,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:38,2.0,4.793019899999997,2.0,100.446778,30990336,0.978799,4,4.797141,1.162577,5.959718,0.167793,0.0,4.0,100.245803,27967488,0.941605,5,5.440409,1.165208,6.605617,0.151386,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:39,2.0,3.302664100000001,2.0,100.426242,31068160,0.949111,5,3.316395,1.167702,4.484097,0.223010,0.0,1.0,100.297581,27291648,0.732204,12,8.081968,1.159305,9.241273,0.108210,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:40,0.0,0.0,0.0,100.6162178662336,31121408,0.949111,4,3.316395,1.158912,4.475307,0.223448,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:41,3.0,3.632514299999997,2.0,100.571667,31141888,0.940554,5,3.639651,1.158912,4.798563,0.208396,6.220650500000001,4.0,100.189168,28688384,0.883603,7,6.222372,1.167713,7.390085,0.135316,5.0,100.046976,24797184,1.216925,2,2.691077,1.162340,3.853417,0.259510
2024-07-31 15:48:42,2.0,4.4659738999999945,2.0,100.581900,31227904,0.939394,5,4.480847,1.160122,5.640969,0.177275,0.0,1.0,100.281669,27508736,0.744804,12,9.238173,1.164392,10.402565,0.096130,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:43,2.0,4.763829700000002,2.0,100.542901,31293440,0.939394,4,4.774702,1.161338,5.936040,0.168462,0.0,3.0,100.618199,29466624,0.493159,19,10.107036,0.900279,11.007314,0.090849,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:44,2.0,5.018537800000004,2.0,100.527269,31379456,0.980016,4,5.034411,1.167775,6.202186,0.161233,0.0,3.0,100.659759,30310400,0.510890,23,11.023121,0.921497,11.944618,0.083720,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:45,2.0,5.970602400000004,2.0,100.545770,31449088,0.981054,5,5.978264,1.168947,7.147211,0.139915,0.0,4.0,100.205484,29151232,0.902446,7,5.822386,1.156049,6.978435,0.143299,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:46,2.0,6.423226200000002,2.0,100.593419,31490048,0.981054,4,6.438116,1.157956,7.596071,0.131647,0.0,3.0,100.621272,30310400,0.512054,23,11.935335,0.912119,12.847454,0.077836,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:47,0.0,0.0,0.0,100.57121465087089,31580160,0.981054,3,6.438116,1.160802,7.598918,0.131598,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:48,2.0,6.678118899999994,2.0,100.571516,31588352,1.020518,4,6.691352,1.160802,7.852154,0.127354,0.0,3.0,100.611975,30437376,0.510261,25,12.838917,0.914174,13.753091,0.072711,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:49,2.0,5.641607999999998,2.0,100.546631,31604736,1.020518,3,5.653480,1.158430,6.811911,0.146802,0.0,1.0,100.233139,28151808,0.759541,14,9.625797,1.161902,10.787700,0.092698,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:50,2.0,5.641089700000002,2.0,100.568260,31625216,1.038739,3,5.656419,1.163941,6.820360,0.146620,0.0,1.0,100.227038,28348416,0.769289,14,10.796397,1.167646,11.964043,0.083584,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:51,3.0,5.992046800000004,2.0,100.560485,31670272,1.031943,4,5.999206,1.169040,7.168246,0.139504,8.535879299999998,4.0,100.208851,30994432,0.878081,9,8.537602,1.160827,9.698429,0.103109,5.0,100.023425,25481216,1.143355,3,3.078983,1.160521,4.239503,0.235877
2024-07-31 15:48:52,2.0,4.839915599999998,2.0,100.552550,31735808,1.008925,5,4.845576,1.168413,6.013990,0.166279,0.0,4.0,100.177615,31129600,0.887856,9,8.526418,1.160718,9.687136,0.103230,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:53,2.0,4.345882700000004,2.0,100.540411,31768576,1.008925,4,4.358756,1.169174,5.527929,0.180900,0.0,3.0,100.497738,30732288,0.527846,29,15.601131,0.913152,16.514283,0.060554,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:54,0.0,0.0,0.0,100.52522067646095,31879168,1.020259,4,4.358756,1.171098,5.529854,0.180837,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-07-31 15:48:55,2.0,4.5982974,2.0,100.533310,31879168,1.020259,4,4.614170,1.171098,5.785268,0.172853,0.0,3.0,100.532686,30838784,0.508244,33,16.516356,0.916686,17.433042,0.057362,0.0,0,0,0,0,0,0,0,0
