time,Node,level,msg,HopCount,QueueTime_0,Throughput_0,InterArrivalTime_0,QueueLength_0,Cpu_0,ServiceTime_0,BrokerId_0,Memory_0,AverageQueueTime_0,AverageThroughput_0,AverageServiceTime_0,ResponseTime_0,QueueTime_1,Throughput_1,InterArrivalTime_1,QueueLength_1,Cpu_1,ServiceTime_1,BrokerId_1,Memory_1,AverageQueueTime_1,AverageThroughput_1,AverageServiceTime_1,ResponseTime_1,QueueTime_2,Throughput_2,InterArrivalTime_2,QueueLength_2,Cpu_2,ServiceTime_2,BrokerId_2,Memory_2,AverageQueueTime_2,AverageThroughput_2,AverageServiceTime_2,ResponseTime_2,Timestamp_0,Timestamp_1,Timestamp_2
2024-07-31 16:14:53,localhost:50002,info,Advertisement(apple > 0.1449707817139059) 3154e8b8-0764-42c5-a0a0-a2048081e80d,3,1.474314,0.378888,1.168460,3,100.354220,1.164988,2,39796736,7.327913,0.117792,1.161597,2.639302,351.497806,0.002836,0.908255,382,100.237844,1.162210,4,39612416,,,,352.660016,89.751453,0.011000,1.079652,82,100.094636,1.159255,5.0,37167104,,,,90.910708,1.4671555999998418,351.4950844,0.0
2024-07-31 16:14:54,localhost:50002,info,Advertisement(apple > 0.9025230188255033) effe07e5-a89b-4d05-a104-e822c870913f,2,2.531759,0.271146,1.167841,3,100.354454,1.156295,2,39800832,7.324405,0.117841,1.161593,3.688054,285.324963,0.003494,0.745206,387,100.169501,0.902058,3,38838272,,,,286.227021,,,,,,,,,,,,,2.515886000000137,0.0,0.0
2024-07-31 16:14:55,localhost:50002,info,Advertisement(apple > 0.6795887843571439) 70587a6a-4df5-48b7-ae90-eee9b0c8c2aa,2,2.770733,0.254219,1.167794,4,100.353283,1.162885,2,39800832,7.321076,0.117887,1.161594,3.933618,285.353540,0.003493,0.745430,387,100.169681,0.907328,3,38821888,,,,286.260868,,,,,,,,,,,,,2.7538604000001214,0.0,0.0
2024-07-31 16:14:56,localhost:50002,info,Advertisement(apple > 0.4724878794990333) 44a42fe6-cc11-447f-babd-c0225f2eaa5a,2,3.797536,0.201808,1.167794,3,100.353618,1.157657,2,39800832,7.318502,0.117923,1.161591,4.955194,350.420343,0.002844,0.908103,383,100.238347,1.167382,4,39600128,,,,351.587725,,,,,,,,,,,,,3.7878751999999167,0.0,0.0
2024-07-31 16:14:57,localhost:50002,info,Advertisement(apple > 0.968302093312031) 429a8173-0989-4259-ac0b-9f8efd85561d,2,4.639506,0.172408,1.167598,4,100.353016,1.160679,2,39804928,7.316547,0.117950,1.161590,5.800185,572.612468,0.001743,0.742466,772,100.134597,1.164484,1,38961152,,,,573.776952,,,,,,,,,,,,,4.624734400000079,0.0,0.0
2024-07-31 16:14:58,localhost:50002,info,Advertisement(apple > 0.15174450837422818) 07201226-9272-48ce-ac07-ec47d7ed2496,2,4.639861,0.172350,1.167598,3,100.353358,1.162285,2,39804928,7.314594,0.117978,1.161591,5.802146,573.775435,0.001739,0.742987,774,100.134989,1.160303,1,38961152,,,,574.935737,,,,,,,,,,,,,4.622988200000009,0.0,0.0
2024-07-31 16:15:00,localhost:50002,info,Advertisement(apple > 0.8592514143501789) c047c197-b897-41c4-aee6-86266cc2a200,2,4.690170,0.170870,1.167598,2,100.352862,1.162240,2,39809024,7.312681,0.118004,1.161591,5.852410,283.559196,0.003515,0.745538,388,100.169840,0.907296,3,38821888,,,,284.466493,,,,,,,,,,,,,4.6732964000000266,0.0,0.0
2024-07-31 16:15:01,localhost:50002,info,Advertisement(apple > 0.8205904903840328) 54ae0ccd-a379-4901-9f3f-045e6461f061,2,4.023911,0.192899,1.169277,2,100.352687,1.160160,2,39809024,7.310286,0.118038,1.161590,5.184071,284.489354,0.003504,0.745508,388,100.169211,0.902307,3,38821888,,,,285.391661,,,,,,,,,,,,,4.0087630000000445,0.0,0.0
2024-07-31 16:15:02,localhost:50002,info,Advertisement(apple > 0.7425173266432008) 6d2a8eba-d1dd-468d-ab15-3d5c6403b1a5,3,4.937968,0.164069,1.168178,3,100.352282,1.157013,2,39780352,7.308559,0.118062,1.161587,6.094980,352.686446,0.002826,0.908204,383,100.237702,1.162681,4,39600128,,,,353.849128,88.971027,0.011095,1.079413,83,100.095215,1.158573,5.0,37171200,,,,90.129600,4.930311500000016,352.6827246999999,0.0
2024-07-31 16:15:03,localhost:50002,info,Advertisement(apple > 0.8397860755499632) e0edd082-d25b-4acc-93c0-dbda2849ab2f,2,2.623710,0.264550,1.167794,3,100.351697,1.156288,2,39780352,7.305152,0.118109,1.161583,3.779998,353.145997,0.002822,0.907857,385,100.236625,1.159888,4,39604224,,,,354.305885,,,,,,,,,,,,,2.6140479999999116,0.0,0.0
