date,HopCount,Timestamp_0,Cpu_0,Memory_0,InterArrivalTime_0,QueueLength_0,QueueTime_0,ServiceTime_0,ResponseTime_0,Throughput_0,Timestamp_1,Cpu_1,Memory_1,InterArrivalTime_1,QueueLength_1,QueueTime_1,ServiceTime_1,ResponseTime_1,Throughput_1,Timestamp_2,Cpu_2,Memory_2,InterArrivalTime_2,QueueLength_2,QueueTime_2,ServiceTime_2,ResponseTime_2,Throughput_2
2024-06-18 17:31:55,2,0.0,30.900683,34529280,107.360200,16,6287.503324,1632.468228,7919.971552,0.126263,-16.322620299999997,42.825924,30826496,1305.026600,18,7873.503318,1161.226602,9034.729920,0.110684,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:56,0,0.0,30.931371464726386,34553856,1180.277740,16,6287.503324,1631.964290,7919.467614,0.126271,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:57,2,0.0,30.875702,34553856,1035.280200,17,6573.378161,1631.964290,8205.342451,0.121872,-17.453616100000005,31.205169,30912512,211.076400,11,2646.092680,1319.195350,3965.288030,0.252188,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:58,0,0.0,30.86925455492338,34603008,1166.299786,17,6573.378161,1632.427814,8205.805975,0.121865,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:31:59,2,0.0,30.818157,34611200,682.013800,18,6879.643717,1632.427814,8512.071531,0.117480,-18.114842399999993,33.946276,32010240,45.129700,0,24.416802,102.554938,126.971740,7.875768,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:00,2,0.0,30.748078,34652160,1637.302200,18,7176.844916,1632.692134,8809.537050,0.113513,-17.897730000000003,42.184133,30986240,3253.910200,16,8766.062055,1157.396869,9923.458924,0.100771,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:01,0,0.0,30.629518465708486,34709504,1137.520614,19,7176.844916,1632.503227,8809.348143,0.113516,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:02,2,0.0,30.809060,34709504,77.197400,19,7416.251500,1632.503227,9048.754727,0.110512,-16.842342700000003,33.327441,32223232,2527.006600,0,23.445211,103.698378,127.143589,7.865123,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:03,2,0.0,30.660694,34865152,403.731400,21,7683.898921,1632.648886,9316.547807,0.107336,-18.729224000000002,30.674554,31309824,121.766400,15,3614.329886,1318.811525,4933.141411,0.202711,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:04,0,0.0,30.676367945913096,34885632,1124.503905,21,7683.898921,1632.648886,9316.547807,0.107336,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:05,2,0.0,30.721549,34889728,269.461000,23,7977.725710,1632.535326,9610.261036,0.104055,-19.4530771,41.314539,31109120,1641.864500,15,9626.364606,1154.318295,10780.682901,0.092759,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:06,0,0.0,30.668723786929302,34967552,1094.855611,23,7977.725710,1632.263343,9609.989053,0.104058,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:07,2,0.0,30.763244,34971648,928.176900,24,8243.222812,1632.263343,9875.486155,0.101261,-19.4131601,33.555205,32378880,346.122800,0,22.735232,104.666913,127.402145,7.849161,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:08,2,0.0,30.700185,34988032,724.569200,25,8526.056204,1632.346607,10158.402811,0.098441,-20.992096299999993,30.580355,31494144,1407.868500,17,4078.148922,1318.770076,5396.918998,0.185291,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:09,0,0.0,30.61400189899718,35004416,1080.274948,25,8526.056204,1632.346607,10158.402811,0.098441,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:10,2,0.0,30.681534,35008512,60.695000,27,8815.456397,1632.220326,10447.676723,0.095715,-21.0042532,41.820376,31232000,1620.731800,13,10457.898678,1151.445228,11609.343906,0.086138,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:11,0,0.0,30.628375852813637,35033088,1051.596540,27,8815.456397,1632.376114,10447.832511,0.095714,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:12,3,0.0,30.662479,35033088,910.185000,28,9109.679195,1632.376114,10742.055309,0.093092,-22.607169499999998,30.422891,31666176,681.329400,20,4331.244746,1328.832035,5660.076781,0.176676,71.050088101,33.116122,26275840,182.830500,2,1050.767415,1010.090089,2060.857504,0.485235
2024-06-18 17:32:13,2,0.0,30.684851,35037184,722.027700,29,9420.648895,1632.093260,11052.742155,0.090475,-23.603020800000003,33.505695,32497664,309.088000,0,22.393483,107.522744,129.916227,7.697268,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:14,0,0.0,30.721671248875833,35065856,1039.285075,29,9420.648895,1632.013613,11052.662508,0.090476,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:15,2,0.0,30.829440,35074048,630.500500,30,9704.658220,1632.013613,11336.671833,0.088209,-22.5203621,41.506247,31432704,1635.872700,12,11232.437946,1149.562535,12382.000481,0.080762,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:16,2,0.0,30.807348,35549184,471.626600,32,10009.573654,1632.083800,11641.657454,0.085898,-24.548045099999996,33.172091,32780288,107.611700,0,21.763240,106.486903,128.250143,7.797262,0.0,0,0,0,0,0,0,0,0
2024-06-18 17:32:17,0,0.0,30.863510453351047,35614720,1010.838354,33,10009.573654,1632.083800,11641.657454,0.085898,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
